Content	Label
An anti-forest measure is A. Afforestation B. Selective grazing C . Clearing forest D. Selective felling	Biology
Among the following organic acids, the acid present in rancid butter is: A . pyruvic acid B. lactic acid c. butyric acid D. acetic acid	Chemistry
If the area of two similar triangles are equal, then they are A . equilateral B. isosceles c. congruent D. not congruent	Maths
In recent year, there has been a growing concern about the gradually increasing average global temperatures. If this trend continues, would you expert the distributional range of some species to be affected?	Biology
Which of the following statement regarding transformer is incorrect? A. A transformer makes use of Faradays Law. B. The ferromagnetic properties of an iron core is used by it to efficiently raise or lower AC voltage C. It cannot increase power so that if the voltage is raised, the current is proportionally lowered and vice versa. D. The current induced in primary circuit is of same nature as in secondary circuit with differences in amplitude only.	Physics
Fern plants reproduce by A. Seeds B. Spores c. Laying eggs D. Giving birth to young fern plants	Biology
Electric current flows through: A. a conductor B. an insulator c. free space D. none of these	Physics
The sides of a right angled triangle are in A.P. The ratio of sides is A .1: 2: 3 B. 2:3:4 ( c cdot 3: 4: 5 ) ( D cdot 5: 8: 3 )	Maths
If the mass of a body is ( M ) on the surface of the earth, the mass of the same body on the surface of the moon is A. ( M / 6 ) в. ( M ) ( c cdot 6 M ) D. zero	Physics
A particle of mass ( m ) is made to move with uniform speed ( v ) along the perimeter of a regular hexagon. The magnitude of impulse applied at each corner is: A . ( m v ) B. ( m v sqrt{3} ) c. ( frac{m v}{2} ) D. ( frac{m v}{sqrt{3}} )	Physics
Convert into mixed fractions. (a) ( frac{3}{2} ) ( (b) frac{24}{5} )	Maths
An insect sits on the end of a long board of length 5 m. The board rests on a frictionless horizontal table. The insect wants to jump to the opposite end of the board. What is the minimum take-off speed (in ( mathrm{m} / mathrm{s} ) ) of insect relative to ground, that allows the insect to do the trick? The board and the insect have equal masses. ( left(boldsymbol{g}=mathbf{1 0} boldsymbol{m} / boldsymbol{s}^{2}right) )	Physics
The equation of the plane passing through the intersection of the planes ( boldsymbol{x}+boldsymbol{y}+boldsymbol{z}=boldsymbol{6} ) and ( boldsymbol{2} boldsymbol{x}+boldsymbol{3} boldsymbol{y}+boldsymbol{4} boldsymbol{z}+boldsymbol{5}= ) ( 0, ) and the point (1,1,1) is A. ( 20 x+23 y+26 z-69=0 ) B. ( 20 x+23 y+26 z+69=0 ) c. ( 23 x+20 y+26 z-69=0 ) D. None of these	Maths
A ketone has molar mass ( 86 . ) Which of the following cannot be IUPAC name of this ketone? A. 2 -pentanone B. 2-methyl butanone c. 3 -methyl butanone D. 3 -pentanone	Chemistry
An ideal gas is compressed in a closed container its U? A. Increases B. Decreases c. Remains same D. Both (1) & (2)	Chemistry
According to Stoke's law, the viscous drag force, on an oil drop is proportional to: A. ( sqrt{V} ) B. ( V^{2} ) c. ( V^{-1} ) D. ( V )	Physics
was the first to discover that lightning is electric discharge. A. Thomas Alva Edison B. Nicolas Tesla c. Benjamin Franklin D. Isaac Newton	Physics
What are monosaccharides? Explain denaturation of proteins.	Chemistry
The product ( B ) can be: ( mathbf{A} ) B. ( H C H O ) ( mathbf{c} cdot C H_{3} H_{8} ) ( mathbf{D} cdot C H_{4} )	Chemistry
The area of the quadrilateral formed by the points (0,0),(1,0),(1,4) and (0,2) is A. 3 B. 2 ( c cdot 4 ) D. 5	Maths
Assertion Newton's law of gravitation resembles Coulomb's law of electrical forces. Reason Coulomb's law has the product of two charges in place of the product of the masses, and the electrostatic constant in place of the gravitational constant. A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion c. Assertion is correct but Reason is incorrect D. Both Assertion and Reason are incorrect	Physics
What percent of Rs.150 is Rs.30? A . 5% B. 20% c. 30% D. 45%	Maths
